Identifiant station;Nom de la station;Capacité de la station;Coordonnées géographiques
12028;Vivaldi - Antoine-Julien Hénard;27;48.8419236633,2.38972897947
13123;Bibliothèque Nationale de France;42;48.8350268238,2.3760157451
14032;Mairie du 14ème;32;48.8325457812,2.32549231499
41203;Stalingrad - Rigollots;20;48.8499740384,2.45557576418
4006;Bourdon - Pont Morland;52;48.8478103,2.3659356
12037;Reuilly - Daumesnil;36;48.8395385,2.3972516
9009;Square Montholon;21;48.8766203775,2.34576411545
18034;Leibniz - Jean Dollfus;32;48.8963283485,2.33339042383
10034;Louis Blanc - La Chapelle;21;48.8840089645,2.35993355513
20006;Pyrénées - Plaine;12;48.8502670246,2.4062821269
12112;Charenton - Jardiniers;31;48.8338217729,2.39469266411
3011;Turbigo - Réaumur;31;48.8655740475,2.35641986132
22503;Joffre - Aigle;20;48.904033,2.245096
48005;Eugène Varlin - Place de la Paix;23;48.792862,2.363093
2004;Square Pierre Lazareff;17;48.8671417207,2.34839335084
1025;Oratoire - Rivoli;18;48.8613427609,2.34000474215
12113;Cardinal Lavigerie;46;48.8329341937,2.4026367494
20010;Sorbier - Gasnier-Guy;34;48.865217631,2.39365965128
21704;Place du Maréchal de Lattre de Tassigny;27;48.8217077153,2.28534314854
19121;Belleville -  Pré Saint-Gervais;21;48.8755659101,2.39304609597
19045;Macdonald - Césaria Evora;67;48.89883,2.37933
24005;Edith Cavell - Volta;33;48.9016165643,2.26935435086
19102;Rampal - Belleville;17;48.8730216016,2.37991098315
21205;Arthur Auger - Jean Jaurès;26;48.8137364456,2.30692774057
20011;Pyrénées - Dagorno;20;48.8554257707,2.4051643163
19001;Crimée - Ourcq;56;48.8941041403,2.37294608847
14014;Jourdan - Stade Charléty;60;48.8194283334,2.34333537519
5022;Boulangers - Cardinal Lemoine;20;48.8462904,2.3521495
6001;Institut de France;17;48.8576156786,2.33583135304
22409;Henri Barbusse - Stalingrad;16;48.8141837487,2.28728625923
17004;Legendre - Clichy;40;48.8889616186,2.32252897509
19101;Square Simon Bolivar;24;48.8750898883,2.38263040781
13001;Port-Royal - Hôpital du Val-de-Grâce;18;48.8376682728,2.34481383466
21306;Place Lafayette;62;48.8296549755,2.26386755705
19024;Botzaris - Parc des Buttes Chaumont;20;48.877951,2.381464
5106;Cujas - Saint-Michel;19;48.8481913486,2.34183165485
15021;Joseph Liouville - Croix Nivert;64;48.8448354712,2.29750849307
19016;Hautpoul - Jean Jaurès;32;48.8863936794,2.38654145444
31010;Stalingrad - Désiré Chevalier;42;48.8567016974,2.44507223368
11007;Jean Macé - Faidherbe;63;48.8533754843,2.38286208361
35018;Ancien Canal - Hélène Brion;23;48.894847993,2.41883385926
20036;Ménilmontant - Pelleport;19;48.8706826338,2.39895960233
33001;Victor Hugo - Magasins Généraux;34;48.9032814011,2.36807238311
27002;Parc Pierre Lagravère;30;48.9265048813,2.23906967849
18020;Francoeur - Marcadet;20;48.8910412326,2.34001458544
21013;Pierre Grenier - Pont de Billancourt;21;48.8258020743,2.2487989068
10023;Gare de l'Est - Verdun;14;48.8761560543,2.36091490832
17046;Mac-Mahon - Brey;25;48.8775320841,2.29451253605
18049;Porte d'Aubervilliers;55;48.8985966194,2.36897226423
16015;Bassano -  Iéna;15;48.8681445105,2.29614960099
20201;Eugène Reisz - Davout;20;48.8563187463,2.41039697081
22102;Mont Valérien - Michel Salles;24;48.8561915,2.2152966
12041;Bois de Vincennes;60;48.8338064,2.4132221
31704;Jeanne Hornet - Girardot;29;48.8738026814,2.42782026529
14116;Romain Rolland;25;48.8202152297,2.32341442344
18019;Square Raymond Souplex;52;48.8918372148,2.33542610317
5019;Poissy - Saint-Germain;25;48.8496964943,2.35296852887
6031;Pierre Sarrazin - Saint-Michel;33;48.8509081464,2.34213072807
12154;Square Georges Melies;40;48.8407023921,2.40966774523
19021;Mairie du 19ème;27;48.8825626425,2.38126248121
20045;Louis Ganne - Davout;30;48.8633872069,2.409725748
8032;Matignon - Faubourg Saint-Honoré;36;48.8714785912,2.31397792697
13110;Moulin de la Pointe;22;48.8209294605,2.35631793737
18114;Véron - Lepic;23;48.885261234,2.33455985785
7024;Rapp - Place du Général Gouraud;31;48.8581028851,2.30040729046
19113;Pré Saint-Gervais - Lilas;28;48.877870627,2.39590734243
11031;Jacquard - Ternaux;39;48.8646605,2.373162
13048;Wurtz - Tolbiac;28;48.8263119562,2.34458595514
7111;Ecole Militaire - Place Joffre;26;48.8520602036,2.30179935694
13121;Bruneseau - Quai d'Ivry;48;48.8249456376,2.38856613636
15043;Brancion - Lefebvre;11;48.8290022279,2.30143103816
16003;André Maurois - Joseph et Marie Hackin;29;48.8778983,2.2789591
42501;Raspail - Albert Schweitzer;28;48.81031545,2.34395871
12007;Gare de Lyon - Chalon;45;48.8456661942,2.37414523959
15057;Lucien Bossoutrot - Général Martial Vallin;39;48.8369560463,2.27410722524
13044;Place Jeanne d'Arc;36;48.829575,2.369126
9024;Taitbout - La Fayette;53;48.8733298892,2.33526259661
15018;Dutot - Place Alleray;56;48.8368260918,2.30717010956
13018;Bruant - Vincent Auriol;25;48.8348484529,2.36682649963
45002;Roger Salengro - Général de Gaulle;27;48.8200290104,2.48467605561
16037;Molitor - Michel-Ange;53;48.8451820815,2.26211277357
2021;Cléry - Montmartre;44;48.867458,2.3445211
44001;Quai Jules Guesde - Saint-Simon;30;48.8039148722,2.40896616203
3004;Place de la République - Temple;18;48.8672112019,2.36354643705
27006;Victor Hugo - Gare;22;48.9231339527,2.26009704173
42019;Lampes;43;48.8115248199,2.40179311484
23103;Manufacture Nationale;28;48.828785141,2.22372226417
18016;Francoeur - Caulaincourt;34;48.889994441,2.34252970666
19117;Euryale Dehaynin - Loire;30;48.8862489173,2.37745910883
48002;LCL Campus - Place Oscar Niemeyer;37;48.8053424806,2.36398369074
15050;Dominique Pado - Croix Nivert;22;48.8364879816,2.28972505778
5033;Saint-Séverin - Saint-Michel;30;48.8527313055,2.34409276396
7023;Bourdonnais - Tour Eiffel;60;48.8608977979,2.29559959845
8046;Marceau - Président Wilson;32;48.8652359,2.3002513
15120;Colonel Pierre Avia;29;48.8296843301,2.27534258685
